0 0.0000000000000000e+00 1.5055295336054176e+03 0.0000000000000000e+00 0.0000000000000000e+00 1.0653409090909090e-02
10 3.6710821563305307e-01 1.3320489183864206e+02 -1.1371725660564108e-01 -1.5748108965774259e-03 4.9848854922590780e-02
20 9.4394648844453910e-01 1.0788352167240542e+02 -1.5913886342890429e-01 -1.2602239646801309e-04 6.2389211592828710e-02
30 1.5998387412204633e+00 1.2311592873431626e+02 -2.9733098942807240e-01 1.7782856807043902e-04 6.7767030204630443e-02
40 2.2996814142212236e+00 1.3432343137925608e+02 -8.0477797582952137e-01 5.5445799556289943e-04 7.1681171579890166e-02
50 3.0307742831754334e+00 1.3335848639634523e+02 -2.1650498162654026e+00 2.7270431374828649e-04 7.4136306259957735e-02
60 3.7838651284227143e+00 1.2613674336256257e+02 -2.6496599025223357e+00 -2.2358494919001818e-04 7.6284699786485513e-02
70 4.5579867799893421e+00 1.2099697950181205e+02 -2.8912132458325441e+00 -8.0489138168406030e-04 7.8208325466450596e-02
80 5.3476226509951950e+00 1.1789339851348112e+02 -3.0975964311754169e+00 -1.2869517956727963e-03 7.9533163127885054e-02
90 6.1498697183987998e+00 1.1508399259193973e+02 -3.1924999787024055e+00 -1.4302988867860317e-03 8.0815778933888943e-02
100 6.9659383577724645e+00 1.1197376676195594e+02 -3.1389390735555094e+00 -1.9894502112776792e-03 8.2258894822743595e-02
110 7.7962952572446298e+00 1.0932823565645744e+02 -2.6626226218318285e+00 -8.6237903431155442e-05 8.3664506680920084e-02
120 8.6405153160467023e+00 1.0664306275819726e+02 -1.7937663303651259e+00 -1.6702607615672186e-03 8.5034975768289028e-02
130 9.4978223629110001e+00 1.0454878521039443e+02 -7.7787652065244728e-01 -1.7984351432175671e-03 8.6279626873938836e-02
140 1.0367038709861330e+01 1.0287130402394833e+02 3.5496162350999516e-01 -2.0704096683703179e-03 8.7439279873872636e-02
150 1.1247592974883119e+01 1.0135230476725791e+02 1.4164595210030893e+00 -2.3272143279771782e-03 8.8556206179063013e-02
160 1.2138811658549137e+01 9.9976427341255103e+01 2.1407251253552784e+00 -3.3550940145525079e-03 8.9550898392345646e-02
170 1.3039007252671793e+01 9.8655043330716850e+01 2.7072710528203370e+00 -4.1117910826480326e-03 9.0387113274252293e-02
180 1.3947092219649507e+01 9.7514731762674131e+01 2.7484594933979221e+00 -5.0207243746798295e-03 9.1146167186635291e-02
190 1.4862528018078649e+01 9.6407080239055389e+01 2.4395595512355288e+00 -4.7529992206199806e-03 9.1857812149286747e-02
200 1.5784765302417757e+01 9.5419964052753343e+01 1.6921989550182628e+00 -4.9753644320587606e-03 9.2521219205930053e-02
210 1.6713638432989711e+01 9.4444623000126242e+01 6.4517545160772893e-01 -4.6648218298962485e-03 9.3190316772466891e-02
220 1.7649353907472431e+01 9.3513128942131743e+01 -5.9102851085219799e-01 -3.3297570215448055e-03 9.3889177452739614e-02
230 1.8592133642323255e+01 9.2644367510005296e+01 -1.9245606694057369e+00 -3.5232424529523100e-03 9.4572457543082689e-02
240 1.9540664269266578e+01 9.1867170468851697e+01 -3.1526879260656324e+00 -3.0696117293425094e-03 9.5059290659019399e-02
250 2.0493370895719561e+01 9.1133082001515191e+01 -4.1515147611474372e+00 -2.3962166401597456e-03 9.5431422198942628e-02
260 2.1449501432332788e+01 9.0476347162088842e+01 -4.7266985109253152e+00 -1.7460938415634376e-03 9.5759497299386390e-02
270 2.2408926847414421e+01 8.9903780259321877e+01 -4.7438726155684945e+00 -2.6824718211671363e-04 9.6095952606242971e-02
280 2.3371910497468086e+01 8.9394097946697514e+01 -4.1721623284724085e+00 3.8559888661299654e-03 9.6472701201428701e-02
290 2.4339044659689975e+01 8.8964231297649206e+01 -2.9313109482530328e+00 2.8806310232283739e-03 9.6923858996671025e-02
300 2.5311204166494992e+01 8.8543726090298307e+01 -1.1166739764537368e+00 4.4888486597859422e-03 9.7469811589609559e-02
310 2.6289340464269987e+01 8.8141174637318727e+01 1.1505275957371877e+00 7.0767395588695941e-03 9.8106722667628737e-02
320 2.7272692216723772e+01 8.7830209149058604e+01 3.5986414559829045e+00 8.2062522375631053e-03 9.8447926323398535e-02
330 2.8256661271628623e+01 8.7578470951153463e+01 6.1257245653561370e+00 1.1939601699050303e-02 9.8268084803190936e-02
340 2.9237533689133063e+01 8.7358032374309815e+01 8.3701198437954112e+00 1.2105389873125174e-02 9.7946391770612845e-02
350 3.0215561962420960e+01 8.7261258813110146e+01 1.0027828283164732e+01 1.4191195768535607e-02 9.7702025691407374e-02
360 3.1191854231029485e+01 8.7297387702359885e+01 1.0826551571882639e+01 1.5959798328790586e-02 9.7594656099151161e-02
