0 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 3.5511363636363637e-04
10 3.6356054215429022e-03 8.1717381109487206e+01 -1.2373554346886362e-02 -2.4232186187970461e-03 8.1717381109487206e+01 -1.2373554346886362e-02 -2.4232186187970461e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 4.6229816795826859e-04
20 9.3337339263580114e-03 6.0371541218093114e+01 -1.3244692834972760e-02 -3.6256393466951864e-05 6.0371541218093114e+01 -1.3244692834972760e-02 -3.6256393466951864e-05 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 6.4678536168790790e-04
30 1.6535793038679147e-02 5.0399267112372286e+01 -1.2654964543974856e-02 8.0888836133209685e-04 5.0399267112372286e+01 -1.2654964543974856e-02 8.0888836133209685e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 7.7504911076861074e-04
40 2.4835236725054388e-02 4.6481928345821657e+01 -1.4023346449227203e-02 2.4209347381220353e-03 4.6481928345821657e+01 -1.4023346449227203e-02 2.4209347381220353e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 8.6765722973779864e-04
50 3.3808597216066501e-02 4.4689562206382220e+01 -1.4877423148629498e-02 6.9274247846402848e-04 4.4689562206382220e+01 -1.4877423148629498e-02 6.9274247846402848e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.1872819206739980e-04
60 4.3257273904371063e-02 4.3790681646443737e+01 -1.2331945719991078e-02 1.6309120430883922e-03 4.3790681646443737e+01 -1.2331945719991078e-02 1.6309120430883922e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 9.6763227314184579e-04
70 5.3172736773627070e-02 4.3061454663051563e+01 -1.1038995217359515e-02 1.5687328845436083e-03 4.3061454663051563e+01 -1.1038995217359515e-02 1.5687328845436083e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0075789523771622e-03
80 6.3400544157656696e-02 4.2346536643136865e+01 -9.7089322449226412e-03 1.5112231285046990e-03 4.2346536643136865e+01 -9.7089322449226412e-03 1.5112231285046990e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0346549687660768e-03
90 7.3895598464177675e-02 4.1562801169934545e+01 -8.4009019892323789e-03 1.4391607690868030e-03 4.1562801169934545e+01 -8.4009019892323789e-03 1.4391607690868030e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0621606142345878e-03
100 8.4683165996688722e-02 4.0689786186584698e+01 -7.2590765425573078e-03 1.3289639980604839e-03 4.0689786186584698e+01 -7.2590765425573078e-03 1.3289639980604839e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.0921135734276266e-03
110 9.5741952237916969e-02 3.9737029498449296e+01 -6.3146094505113215e-03 1.2016180844575675e-03 3.9737029498449296e+01 -6.3146094505113215e-03 1.2016180844575675e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1157583836599509e-03
120 1.0697932402879382e-01 3.8718240822908527e+01 -5.5257724026007704e-03 1.0950720460987107e-03 3.8718240822908527e+01 -5.5257724026007704e-03 1.0950720460987107e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1292187026966513e-03
130 1.1832366469970311e-01 3.7643391687485114e+01 -4.7303331783514757e-03 1.0403778556466736e-03 3.7643391687485114e+01 -4.7303331783514757e-03 1.0403778556466736e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1383263499061026e-03
140 1.2975312918659015e-01 3.6529191743579901e+01 -4.0080384775957878e-03 1.0150502096435698e-03 3.6529191743579901e+01 -4.0080384775957878e-03 1.0150502096435698e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1466348879383276e-03
150 1.4125467033196498e-01 3.5405566698342511e+01 -3.4323133084610546e-03 1.0187746930509500e-03 3.5405566698342511e+01 -3.4323133084610546e-03 1.0187746930509500e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1519093644787829e-03
160 1.5278432760086941e-01 3.4309661326419821e+01 -2.9566904641218361e-03 1.0217012273355530e-03 3.4309661326419821e+01 -2.9566904641218361e-03 1.0217012273355530e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1537679245086469e-03
170 1.6433321567474676e-01 3.3271075446466646e+01 -2.5514251098253116e-03 1.0146753745783887e-03 3.3271075446466646e+01 -2.5514251098253116e-03 1.0146753745783887e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1560535843057266e-03
180 1.7591570722628611e-01 3.2299819417851289e+01 -2.2037833801560325e-03 1.0164188399536811e-03 3.2299819417851289e+01 -2.2037833801560325e-03 1.0164188399536811e-03 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1603649579815516e-03
190 1.8755269378388820e-01 3.1388523283726489e+01 -1.9054933847064692e-03 9.7319381798399718e-04 3.1388523283726489e+01 -1.9054933847064692e-03 9.7319381798399718e-04 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1.1667191479842985e-03
