0 0.0000000000000000e+00 2.8335226214806735e+01 -1.8578888427711604e-15 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 2.8335226214806735e+01 -1.8578888427711604e-15 0.0000000000000000e+00 3.5511363636363635e-03
10 1.1381857941039050e-01 3.3257213894731819e+01 -1.3256592017700353e-02 -1.4027824027523084e-07 1.5578393004555330e+01 -1.2692312564077213e-02 0.0000000000000000e+00 1.7678820890176485e+01 -5.6427945362313991e-04 -1.4027824027523084e-07 1.5673595569838612e-02
20 2.9786514603970926e-01 3.0343443369706616e+01 -4.3550524608807928e-02 -8.1972875908726657e-08 1.6909830353309633e+01 -4.3803868792650746e-02 0.0000000000000000e+00 1.3433613016396983e+01 2.5334418384281854e-04 -8.1972875908726657e-08 2.0033896796144805e-02
30 5.1000982874561795e-01 2.9880369661892651e+01 2.6016454634253838e-02 -1.5987065228713244e-07 1.9532075670443895e+01 2.6341054428126398e-02 0.0000000000000000e+00 1.0348293991448754e+01 -3.2459979387255977e-04 -1.5987065228713244e-07 2.2003688586285701e-02
40 7.3677093167884233e-01 3.1375095665079758e+01 -1.9771561126760151e-03 -1.7413301624953513e-07 2.3013726895021822e+01 -1.4392092721617900e-03 0.0000000000000000e+00 8.3613687700579362e+00 -5.3794684051422514e-04 -1.7413301624953513e-07 2.3117159881855528e-02
50 9.7190103158727681e-01 3.3293512448460348e+01 -2.9865299008430712e-02 -1.9709246567443862e-07 2.6043054872224385e+01 -2.9657274339456308e-02 0.0000000000000000e+00 7.2504575762359602e+00 -2.0802466897440475e-04 -1.9709246567443862e-07 2.3811218936289156e-02
60 1.2134308639650702e+00 3.5063758013464188e+01 -6.2158737733029046e-03 -2.8324313180668195e-07 2.8328646052004125e+01 -6.6010610989835072e-03 0.0000000000000000e+00 6.7351119614600634e+00 3.8518732568060265e-04 -2.8324313180668195e-07 2.4428235118645680e-02
70 1.4610473273393469e+00 3.5820449963939879e+01 -1.4916490939248295e-02 -4.8189935108549810e-07 2.9308043195218090e+01 -1.5371714341537057e-02 0.0000000000000000e+00 6.5124067687217870e+00 4.5522340228876246e-04 -4.8189935108549810e-07 2.5034931383552703e-02
80 1.7145169750031990e+00 3.5372467822474306e+01 -1.8283337052436233e-02 -6.2314009011467509e-07 2.8984845727571226e+01 -1.8388909834097689e-02 0.0000000000000000e+00 6.3876220949030786e+00 1.0557278166145601e-04 -6.2314009011467509e-07 2.5583991893785081e-02
90 1.9729547764978981e+00 3.4378108116167240e+01 -1.5983961677234149e-02 -7.6088751920061121e-07 2.8117381012283605e+01 -1.5310621108575617e-02 0.0000000000000000e+00 6.2607271038836334e+00 -6.7334056865853142e-04 -7.6088751920061121e-07 2.6048405257787805e-02
